id,poet_id,title,content,date
1,1,"A childs bike","Did anyone tell you how I look like? <br />A birds feathers falling on my head<br />Rollin on, keep moving with the bike<br />A birds scream will wake me up in my bed<br />Please dont look when I pass you by<br />My wheels are getting tired, getting old<br />The tears that left your eyes when you cry<br />They are chilling, so cold<br />The bike cant move on on its own<br />I stepp down and pull it by my side<br />A window let the raindropp fall alone<br />Looking inside for me somewhere to hide<br />Thunder awake and screamd over me<br />No one is left here on the street<br />I have nowhere to go, no one to be<br />I have no sun, no star, no heat<br />The bike cant move on even with me there<br />I have to let go of it and leave it at this place<br />I look up and the raindrops worked with the hair<br />Together they sticked to my face<br /><br />Together they feel alive<br />Together they know<br />Im all alone... 
						<br />",6/9/2012
2,1,"A Russian story","If I could stop cry<br />And asking myself why<br />Then mabey I would be alright<br />And if I just didnt say<br />That thing on that day<br />Mabey I wouldn't be here tonight<br /><br />Does it hurt? <br />Yes it does<br />Just gonna take a ride on me like I am a bus<br /><br />Does it hurt? <br />Yes it do<br />I wanna run so far away from you<br /><br />After they took me to their place<br />I just saw that one face<br />I was hoping he would set me free<br />But I made up my mind<br />He's not that kind<br />Why does he doing this to me? <br /><br />Does it hurt? <br />Yes it does<br />Wanna leve them behind me in the memory 'was'<br /><br />Does it hurt? <br />Yes it do<br />Why does this nightmare have to be true? <br /><br />Im tired of being in pain<br />Im screaming <br />Im bleeding<br />Im falling like the rain<br /><br />I didnt ask for your violence<br />I didnt ask for your rape<br />I didnt ask for any of that<br />And still you crushed me like a grape<br /><br />Does it feel good? <br />Does it feel okay? <br />Does it feel good? <br /><br />Do you like it? <br />No let me go<br />Its all so bloody so row<br /><br />Do you like it? <br />No I am screaming<br /><br />Can somone out there hear me..? 
						<br />",1/14/2012
3,1,"Alice in Wonderland","Tik Tok Tik Tok<br /><br />Falling in a wolrd of fear<br />Smiling with the cat<br />The Queen of hearts never share<br />So I drank tea with a man in a hat<br /><br />Skratcher, Hunter everybody run<br />Here in a world where there is no such thing as time<br />Slay the bloody one with fun<br />In this world of chess and rhyme<br /><br />Cookie made me grow<br />Drink made me small<br />The poison in the blood flows<br />Drank the tea with Hatter and now I will fall<br /><br />Tik Tok Tik Tok<br /><br />No such thing as time<br /><br />Tik Tok Tik Tok<br /><br />I will loose the head of mine 
						<br />",1/14/2012
4,1,"Another home","What do you mean<br />When you talk about me<br />What have you seen<br />To tell me what to be<br /><br />Well, well, well, well? <br /><br />Who are you<br />To tell me to cry<br />What will you do<br />If I still try<br /><br />Im not made of stone<br />But I know when to stand strong when you are alone<br /><br />I can sense your dreams far away<br />You still want me to stay<br />In this hell you call paradise<br />Stop be a fool<br />I've thrown my dice<br /><br />Who are they<br />To tell me I am wrong<br />What did they do yesterday<br />To stay so strong<br /><br />Well, well? <br /><br />Im not made of stone<br />But I feel that you alredy know<br />That you are not made of stone<br /><br />What will you do? <br />When I find you? <br /><br />She is screaming, screaming<br />Dying, dying<br />My arms are heavy, please<br />Dont come back home.. 
						<br />",5/3/2012
5,1,"Beauty of two worlds","Sand belongs to the sun<br />A wind to separate them both<br />Everything that has to be done<br />Every freedom that has been caught<br /><br />Fire belongs to the hand<br />That holds a heart within a cloud<br />Sparkles dissapear where you stand<br />Dreams of red that has just been found<br /><br />Roses belongs to the romance<br />Thorns that bleeds old scars<br />Hold your life, dance a dance<br />Show the red what roses are<br /><br />She belongs to the world<br />A thing that feels on its own<br />What can I use for words<br />To describe we are not alone<br />We belong to two worlds... 
						<br />",11/4/2012
6,1,"Black Dawn","Eyes in the night watching her<br />Everything is unstable, what a blur<br />Cold breaths and hidden cries<br />Black dawn with immortal eyes<br /><br />A prince of darkness, the mighty night<br />Watched by solders and shining knights<br />In a kingdom he rules in fear<br />And she is getting near<br /><br />Midnight sun was now close<br />She felt the fear till her bones<br />She got closer and didnt give in<br />Though life saw it as a sin<br /><br />She sees a star and she sees a man<br />The prince saw her and ran<br />They kissed even if it was unknown<br />Better with beautiful strangers than all alone<br /><br />She was chosen by his voice<br />She was his only full blooded choice<br />Everything else was still in night<br />Where he still ruled in fright<br /><br />The light shines brightest in the dark<br />Together they left a red, thorny mark<br />No one accepted these lovers two<br />A midnight sun, a black dawn<br />Hated, feared for a love so true 
						<br />",12/1/2012
7,1,"Blind way","My mind is darker than yesterday<br />Everything is black and Im not okey<br />Im searching for you here, right now<br />I will find my home somehow<br />A light that dosnt know wehre to shine<br />Prettier and stronger than any divine<br />Its shining on my destiny<br />Please let me be<br />I cant help your raven eyes<br />I cant go against your lies<br />You have only yourself to blame<br />You lost this game<br />My mind is darker than before<br />I will go blind for sure<br />But atleast I belive in the light<br />Shining so bright...<br /><br />Darker than you and me<br />Darker than everything I see<br />You have to let go of it all<br />Or you will fall<br />I have moved on and so should you<br />Thats really what you have to do<br />And I still have to live with those mistakes<br />But Ill do what it takes<br />We are not like them you see<br />Your olny friend is me<br />So please accept the light you fool<br />Throw away your tools<br />I will live with them soon<br />I will leave the dark, the moon<br />Follow me insteed of cry<br />Cry till you die.... 
						<br />",5/3/2012
8,1,"Bloody Hands","Fearless cries screaming out<br />Sooner or later it will shout<br />For every life left on earth<br />To forget their birth<br />Pain is not for fun you know<br />You are in this all alone<br />What if the mosters are real<br />They show you how you feel<br />Sooner or later my heart does break<br />For all this stupid mistake<br />You think that you know my scars<br />Im not what you are<br /><br />Crying fearless nights<br />Bloody, bloody hand and I feel a fright<br />You think that Im done<br />Bloody<br />Bloody <br />Bloody nights and fear<br /><br />I dont dare<br /><br />Lifeless is my thoughts<br />Lifeless...<br />Open up <br />Close in<br />Take a breath<br />And Im trying....<br /><br />Crying fearless nights<br />Bloody<br />Bloody<br />Bloody minds forever... 
						<br />",6/9/2012
9,1,Bullied,"Honey save me now<br />Before I die<br />Run faster<br />Hit harder<br />Dont waste your time<br />Because soon its all gone<br /><br />I will always wonder why<br />Think harder <br />Speak lauder<br />Give it a shot, give it a try<br />Because soon I'll be gone<br /><br />They say it's a misunderstanding<br />Cry slowly<br />Tell faster<br />Never fall always landing<br />Because soon they will be gone<br /><br />But do you know what they are doing with me? <br />Hitting me hard enough<br />Make me run but to slowly<br />Make me fear of life<br />That my friends is the feeling of being bullied... 
						<br />",1/14/2012
10,1,Cancer,"Watching those people passing me by<br />No one cares about me<br />The are conviced in there own lie<br />No one wants to be here to see<br />As the snow turns my skin pale<br />As the ashes of my tears<br />I feel like Im on sale<br />No one wants me no one cares<br /><br />Unlike you...<br />I have to breathe one more time<br />Unlike you...<br />I have to scream out not mime<br />Unlike you...<br />I cant stop the red<br />Unlike you...<br />I will have to face that I might be dead<br /><br />The distance between ous is small<br />But we pretend that there is something there<br />You cant just rise and show them all<br />No one wants me no one cares<br />I live in my space<br />No one need to save me after all<br />I have lost all my grace<br />Soon like the snow I will fall<br /><br />Unlike me...<br />You will live<br />Unlike me...<br />You will recive<br />Unlike me..<br />You will not be in pain<br />Unlike you...<br />I will never escape from this chains<br /><br />Life is killing ous all<br />You just have to find that place<br />Life will make you dropp the ball<br />Lost in time and space<br />Make yourself belive in you<br />Breathe as you will never<br />No one needs to know the truth<br />I will hunt my body for ever<br /><br />Unlike you all...<br />I cant live anymore<br />Unlike me...<br />You can breathe for sure<br />Unlike you all...<br />I feel the snow killing me<br />Unlike me...<br />You dont have to die you see? 
						<br />",1/14/2012
